Sl no.,Centre Name,,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Botad,,Jowar(Sorghum),1500,2440,1975,16-08-2024
2,Botad,,Jowar(Sorghum),1500,3770,2650,08-08-2024
3,Botad,,Jowar(Sorghum),1500,3780,2650,10-08-2024
4,Botad,,Jowar(Sorghum),1500,4115,2850,14-09-2024
5,Botad,,Jowar(Sorghum),1500,4200,2900,18-12-2024
6,Botad,,Jowar(Sorghum),1725,2350,2040,29-11-2024
7,Botad,,Jowar(Sorghum),1725,3880,2850,06-09-2024
8,Botad,,Jowar(Sorghum),1750,2500,2100,24-10-2024
9,Botad,,Jowar(Sorghum),1750,2765,2300,04-09-2024
10,Botad,,Jowar(Sorghum),1750,3600,2675,01-05-2024
11,Botad,,Jowar(Sorghum),1750,4455,3150,03-12-2024
12,Botad,,Jowar(Sorghum),1800,4565,3200,22-07-2024
13,Botad,,Jowar(Sorghum),1825,4405,3150,19-07-2024
14,Botad,,Jowar(Sorghum),1900,2345,2150,25-09-2024
15,Botad,,Jowar(Sorghum),1935,4205,3100,17-12-2024
16,Botad,,Jowar(Sorghum),1950,2500,2250,22-08-2024
17,Botad,,Jowar(Sorghum),1950,3850,2950,05-10-2024
18,Botad,,Jowar(Sorghum),1975,3665,2850,10-12-2024
19,Botad,,Jowar(Sorghum),2000,2150,2100,30-09-2024
20,Botad,,Jowar(Sorghum),2000,3750,2900,24-09-2024
21,Botad,,Jowar(Sorghum),2000,3790,2900,30-08-2024
22,Botad,,Jowar(Sorghum),2000,3820,2950,05-08-2024
23,Botad,,Jowar(Sorghum),2000,3900,3000,01-10-2024
24,Botad,,Jowar(Sorghum),2000,4020,3250,16-09-2024
25,Botad,,Jowar(Sorghum),2000,4020,3250,20-11-2024
26,Botad,,Jowar(Sorghum),2000,4050,3050,26-07-2024
27,Botad,,Jowar(Sorghum),2000,4105,3100,17-08-2024
28,Botad,,Jowar(Sorghum),2000,4200,3150,21-11-2024
29,Botad,,Jowar(Sorghum),2005,3930,3000,31-12-2024
30,Botad,,Jowar(Sorghum),2005,3935,3000,21-08-2024
31,Botad,,Jowar(Sorghum),2010,2010,2010,22-11-2024
32,Botad,,Jowar(Sorghum),2025,4330,3180,10-07-2024
33,Botad,,Jowar(Sorghum),2060,4065,3100,19-09-2024
34,Botad,,Jowar(Sorghum),2115,4255,3200,18-09-2024
35,Botad,,Jowar(Sorghum),2125,4100,3150,09-12-2024
36,Botad,,Jowar(Sorghum),2125,4130,3150,03-09-2024
37,Botad,,Jowar(Sorghum),2150,3500,2850,08-11-2024
38,Botad,,Jowar(Sorghum),2150,3695,2950,09-08-2024
39,Botad,,Jowar(Sorghum),2155,3825,2950,06-08-2024
40,Botad,,Jowar(Sorghum),2160,3780,2970,31-07-2024
41,Botad,,Jowar(Sorghum),2165,4125,3150,20-12-2024
42,Botad,,Jowar(Sorghum),2175,3845,3150,02-08-2024
43,Botad,,Jowar(Sorghum),2200,2575,2400,19-11-2024
44,Botad,,Jowar(Sorghum),2245,2600,2425,05-01-2024
45,Botad,,Jowar(Sorghum),2250,3540,2900,08-05-2024
46,Botad,,Jowar(Sorghum),2250,3600,2750,30-04-2024
47,Botad,,Jowar(Sorghum),2250,3725,2950,19-12-2024
48,Botad,,Jowar(Sorghum),2250,3900,3050,26-04-2024
49,Botad,,Jowar(Sorghum),2250,4030,3150,27-07-2024
50,Botad,,Jowar(Sorghum),2250,4160,3250,23-12-2024
51,Botad,,Jowar(Sorghum),2255,3950,3150,28-11-2024
52,Botad,,Jowar(Sorghum),2275,2500,2400,13-12-2024
53,Botad,,Jowar(Sorghum),2305,4095,3250,27-12-2024
54,Botad,,Jowar(Sorghum),2315,2495,2400,16-12-2024
55,Botad,,Jowar(Sorghum),2350,2920,2650,29-10-2024
56,Botad,,Jowar(Sorghum),2350,4150,3300,14-12-2024
57,Botad,,Jowar(Sorghum),2365,2555,2460,11-12-2024
58,Botad,,Jowar(Sorghum),2370,3720,3050,12-08-2024
59,Botad,,Jowar(Sorghum),2375,3930,3200,09-09-2024
60,Botad,,Jowar(Sorghum),2375,3980,3350,10-09-2024
61,Botad,,Jowar(Sorghum),2380,3000,2700,11-10-2024
62,Botad,,Jowar(Sorghum),2400,4030,3250,23-09-2024
63,Botad,,Jowar(Sorghum),2405,4120,3300,02-12-2024
64,Botad,,Jowar(Sorghum),2405,4345,3375,13-06-2024
65,Botad,,Jowar(Sorghum),2420,3695,3150,14-08-2024
66,Botad,,Jowar(Sorghum),2425,4085,3300,30-12-2024
67,Botad,,Jowar(Sorghum),2430,2575,2550,15-11-2024
68,Botad,,Jowar(Sorghum),2435,3230,2850,08-10-2024
69,Botad,,Jowar(Sorghum),2450,3600,3025,03-05-2024
70,Botad,,Jowar(Sorghum),2450,4110,3300,23-07-2024
71,Botad,,Jowar(Sorghum),2460,2460,2460,26-12-2024
72,Botad,,Jowar(Sorghum),2460,3945,3250,30-07-2024
73,Botad,,Jowar(Sorghum),2470,4000,3250,15-10-2024
74,Botad,,Jowar(Sorghum),2475,4040,3300,13-09-2024
75,Botad,,Jowar(Sorghum),2490,2490,2490,25-12-2024
76,Botad,,Jowar(Sorghum),2495,3895,3200,25-10-2024
77,Botad,,Jowar(Sorghum),2500,3900,3250,29-04-2024
78,Botad,,Jowar(Sorghum),2500,4120,3350,20-09-2024
79,Botad,,Jowar(Sorghum),2500,4215,3400,24-07-2024
80,Botad,,Jowar(Sorghum),2505,3725,3150,20-08-2024
81,Botad,,Jowar(Sorghum),2505,3900,3205,25-04-2024
82,Botad,,Jowar(Sorghum),2515,2750,2650,26-11-2024
83,Botad,,Jowar(Sorghum),2515,3650,3100,12-11-2024
84,Botad,,Jowar(Sorghum),2515,4200,3400,17-07-2024
85,Botad,,Jowar(Sorghum),2525,3800,3250,23-08-2024
86,Botad,,Jowar(Sorghum),2575,3880,3250,01-08-2024
87,Botad,,Jowar(Sorghum),2575,4075,3350,05-09-2024
88,Botad,,Jowar(Sorghum),2575,4080,3350,21-09-2024
89,Botad,,Jowar(Sorghum),2575,4380,3500,13-07-2024
90,Botad,,Jowar(Sorghum),2580,3895,3250,26-10-2024
91,Botad,,Jowar(Sorghum),2620,3840,3250,03-08-2024
92,Botad,,Jowar(Sorghum),2620,3950,3300,23-11-2024
93,Botad,,Jowar(Sorghum),2650,4340,3500,11-07-2024
94,Botad,,Jowar(Sorghum),2675,4330,3505,02-07-2024
95,Botad,,Jowar(Sorghum),2700,3300,3000,27-11-2024
96,Botad,,Jowar(Sorghum),2700,4230,3500,18-07-2024
97,Botad,,Jowar(Sorghum),2720,4120,3450,07-10-2024
98,Botad,,Jowar(Sorghum),2725,4435,3650,07-08-2024
99,Botad,,Jowar(Sorghum),2750,3545,3100,27-04-2024
100,Botad,,Jowar(Sorghum),2750,3935,3350,14-10-2024
101,Botad,,Jowar(Sorghum),2750,4220,3500,06-07-2024
102,Botad,,Jowar(Sorghum),2750,4225,3475,15-07-2024
103,Botad,,Jowar(Sorghum),2800,3750,3300,18-10-2024
104,Botad,,Jowar(Sorghum),2875,3900,3400,09-10-2024
105,Botad,,Jowar(Sorghum),2875,4095,3500,11-09-2024
106,Botad,,Jowar(Sorghum),3000,3600,3300,02-05-2024
