Sl no.,District Name,Commodity,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Kalburgi,Rice,FAQ,1800,2700,2350,23-02-2024
2,Kalburgi,Rice,FAQ,1800,2800,2300,15-05-2024
3,Kalburgi,Rice,FAQ,1800,2800,2300,29-07-2024
4,Kalburgi,Rice,FAQ,1800,2800,2350,16-02-2024
5,Kalburgi,Rice,FAQ,1800,2800,2400,02-03-2024
6,Kalburgi,Rice,FAQ,1800,2800,2400,10-01-2024
7,Kalburgi,Rice,FAQ,1800,2800,2400,13-06-2024
8,Kalburgi,Rice,FAQ,1800,2800,2400,16-07-2024
9,Kalburgi,Rice,FAQ,1800,2800,2400,21-02-2024
10,Kalburgi,Rice,FAQ,1800,2800,2400,23-07-2024
11,Kalburgi,Rice,FAQ,1800,2800,2400,27-03-2024
12,Kalburgi,Rice,FAQ,1800,2800,2400,29-04-2024
13,Kalburgi,Rice,FAQ,1800,2800,2450,19-06-2024
14,Kalburgi,Rice,FAQ,1800,2850,2400,19-04-2024
15,Kalburgi,Rice,FAQ,1800,2850,2400,29-01-2024
16,Kalburgi,Rice,FAQ,1800,2850,2415,15-04-2024
17,Kalburgi,Rice,FAQ,1800,2900,2400,30-07-2024
18,Kalburgi,Rice,FAQ,1800,3000,2500,03-07-2024
19,Kalburgi,Rice,FAQ,1800,3000,2600,24-02-2024
20,Kalburgi,Rice,FAQ,1850,2800,2400,17-02-2024
21,Kalburgi,Rice,FAQ,1850,2800,2500,05-03-2024
22,Kalburgi,Rice,FAQ,1850,3000,2550,19-02-2024
23,Kalburgi,Rice,FAQ,1900,2850,2500,20-02-2024
24,Kalburgi,Rice,FAQ,2000,2800,2400,08-08-2024
25,Kalburgi,Rice,FAQ,2000,2800,2400,09-01-2024
26,Kalburgi,Rice,FAQ,2000,2800,2400,12-01-2024
27,Kalburgi,Rice,FAQ,2000,2800,2400,16-04-2024
28,Kalburgi,Rice,FAQ,2000,2800,2450,04-04-2024
29,Kalburgi,Rice,FAQ,2000,2800,2450,13-05-2024
30,Kalburgi,Rice,FAQ,2000,2800,2450,25-07-2024
31,Kalburgi,Rice,FAQ,2000,2850,2400,05-04-2024
32,Kalburgi,Rice,FAQ,2000,2850,2400,07-03-2024
33,Kalburgi,Rice,FAQ,2000,2850,2450,01-04-2024
34,Kalburgi,Rice,FAQ,2000,2900,2500,27-06-2024
35,Kalburgi,Rice,FAQ,2000,2900,2550,04-11-2024
36,Kalburgi,Rice,FAQ,2000,2900,2550,05-08-2024
37,Kalburgi,Rice,FAQ,2000,2900,2550,05-11-2024
38,Kalburgi,Rice,FAQ,2000,2900,2550,10-07-2024
39,Kalburgi,Rice,FAQ,2000,2900,2575,29-06-2024
40,Kalburgi,Rice,FAQ,2000,2950,2450,03-04-2024
41,Kalburgi,Rice,FAQ,2000,2950,2500,13-07-2024
42,Kalburgi,Rice,FAQ,2000,2950,2505,26-07-2024
43,Kalburgi,Rice,FAQ,2000,2950,2550,31-07-2024
44,Kalburgi,Rice,FAQ,2000,2950,2575,18-06-2024
45,Kalburgi,Rice,FAQ,2000,2975,2650,15-11-2024
46,Kalburgi,Rice,FAQ,2000,3000,2500,01-02-2024
47,Kalburgi,Rice,FAQ,2000,3000,2500,02-02-2024
48,Kalburgi,Rice,FAQ,2000,3000,2500,04-03-2024
49,Kalburgi,Rice,FAQ,2000,3000,2500,05-01-2024
50,Kalburgi,Rice,FAQ,2000,3000,2500,06-07-2024
51,Kalburgi,Rice,FAQ,2000,3000,2500,06-03-2024
52,Kalburgi,Rice,FAQ,2000,3000,2500,09-07-2024
53,Kalburgi,Rice,FAQ,2000,3000,2500,13-09-2024
54,Kalburgi,Rice,FAQ,2000,3000,2500,15-10-2024
55,Kalburgi,Rice,FAQ,2000,3000,2500,30-01-2024
56,Kalburgi,Rice,FAQ,2000,3000,2500,31-01-2024
57,Kalburgi,Rice,FAQ,2000,3000,2550,02-08-2024
58,Kalburgi,Rice,FAQ,2000,3000,2550,02-01-2024
59,Kalburgi,Rice,FAQ,2000,3000,2550,08-10-2024
60,Kalburgi,Rice,FAQ,2000,3000,2550,13-08-2024
61,Kalburgi,Rice,FAQ,2000,3000,2550,20-06-2024
62,Kalburgi,Rice,FAQ,2000,3000,2550,23-10-2024
63,Kalburgi,Rice,FAQ,2000,3000,2550,26-02-2024
64,Kalburgi,Rice,FAQ,2000,3000,2550,29-05-2024
65,Kalburgi,Rice,FAQ,2000,3000,2600,22-08-2024
66,Kalburgi,Rice,FAQ,2000,3000,2600,29-08-2024
67,Kalburgi,Rice,FAQ,2000,3000,2650,22-02-2024
68,Kalburgi,Rice,FAQ,2000,3060,2650,20-08-2024
69,Kalburgi,Rice,FAQ,2000,3100,2800,14-03-2024
70,Kalburgi,Rice,FAQ,2000,3200,2650,21-08-2024
71,Kalburgi,Rice,FAQ,2000,3200,2800,27-08-2024
72,Kalburgi,Rice,FAQ,2000,3250,2650,21-05-2024
73,Kalburgi,Rice,FAQ,2000,3300,2800,20-04-2024
74,Kalburgi,Rice,FAQ,2000,3400,2800,27-05-2024
75,Kalburgi,Rice,FAQ,2050,2850,2550,06-08-2024
76,Kalburgi,Rice,FAQ,2050,2850,2550,19-07-2024
77,Kalburgi,Rice,FAQ,2050,2850,2600,11-03-2024
78,Kalburgi,Rice,FAQ,2050,3000,2550,22-06-2024
79,Kalburgi,Rice,FAQ,2100,2800,2400,02-04-2024
80,Kalburgi,Rice,FAQ,2100,2800,2400,06-11-2024
81,Kalburgi,Rice,FAQ,2100,2800,2450,23-05-2024
82,Kalburgi,Rice,FAQ,2100,2800,2450,30-09-2024
83,Kalburgi,Rice,FAQ,2100,2800,2500,04-07-2024
84,Kalburgi,Rice,FAQ,2100,2800,2500,08-07-2024
85,Kalburgi,Rice,FAQ,2100,2800,2500,14-06-2024
86,Kalburgi,Rice,FAQ,2100,2800,2500,15-02-2024
87,Kalburgi,Rice,FAQ,2100,2800,2500,25-06-2024
88,Kalburgi,Rice,FAQ,2100,2800,2550,15-07-2024
89,Kalburgi,Rice,FAQ,2100,2800,2550,15-06-2024
90,Kalburgi,Rice,FAQ,2100,2800,2550,19-11-2024
91,Kalburgi,Rice,FAQ,2100,2800,2550,20-07-2024
92,Kalburgi,Rice,FAQ,2100,2800,2550,24-07-2024
93,Kalburgi,Rice,FAQ,2100,2800,2600,29-10-2024
94,Kalburgi,Rice,FAQ,2100,2800,2600,30-04-2024
95,Kalburgi,Rice,FAQ,2100,2850,2450,13-03-2024
96,Kalburgi,Rice,FAQ,2100,2850,2550,16-11-2024
97,Kalburgi,Rice,FAQ,2100,2850,2550,26-06-2024
98,Kalburgi,Rice,FAQ,2100,2850,2600,01-07-2024
99,Kalburgi,Rice,FAQ,2100,2900,2450,26-10-2024
100,Kalburgi,Rice,FAQ,2100,2900,2450,27-01-2024
101,Kalburgi,Rice,FAQ,2100,2900,2500,14-05-2024
