Sl no.,Centre Name,Commodity,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
98,Baran,Wheat,FAQ,2525,2622,2573,29-06-2024
99,Baran,Wheat,FAQ,2300,2538,2419,05-03-2024
100,Baran,Wheat,FAQ,2550,2621,2585,03-08-2024
101,Baran,Wheat,FAQ,2601,2794,2697,25-10-2024
102,Baran,Wheat,FAQ,2569,2618,2593,29-08-2024
103,Baran,Wheat,FAQ,2580,2611,2595,10-09-2024
104,Baran,Wheat,FAQ,2250,2478,2364,13-05-2024
105,Baran,Wheat,FAQ,2375,2792,2583,24-01-2024
106,Baran,Wheat,FAQ,2557,2589,2573,09-08-2024
107,Baran,Wheat,FAQ,2600,2620,2610,12-09-2024
108,Baran,Wheat,FAQ,2735,2800,2767,19-12-2024
109,Baran,Wheat,FAQ,2740,2820,2780,04-11-2024
110,Baran,Wheat,FAQ,2400,2580,2490,20-06-2024
111,Baran,Wheat,FAQ,2750,2820,2785,19-11-2024
112,Baran,Wheat,FAQ,2435,2600,2517,24-06-2024
113,Baran,Wheat,FAQ,2100,2738,2419,15-03-2024
114,Baran,Wheat,FAQ,2290,2318,2304,06-03-2024
115,Baran,Wheat,FAQ,2305,2548,2426,24-05-2024
116,Baran,Wheat,FAQ,2740,2800,2770,21-11-2024
117,Baran,Wheat,FAQ,2250,2495,2372,10-04-2024
118,Baran,Wheat,FAQ,2475,2599,2537,08-06-2024
119,Baran,Wheat,FAQ,2445,2535,2490,16-07-2024
120,Baran,Wheat,FAQ,2752,2808,2780,23-12-2024
121,Baran,Wheat,FAQ,2550,2600,2575,16-09-2024
122,Baran,Wheat,FAQ,2250,2505,2377,10-02-2024
123,Baran,Wheat,FAQ,2288,2500,2394,02-05-2024
124,Baran,Wheat,FAQ,2170,2735,2452,30-01-2024
125,Baran,Wheat,FAQ,2253,2500,2376,07-02-2024
126,Baran,Wheat,FAQ,2545,2610,2577,21-09-2024
127,Baran,Wheat,FAQ,2100,2584,2342,16-03-2024
128,Baran,Wheat,FAQ,2275,2560,2417,06-04-2024
129,Baran,Wheat,FAQ,2224,2450,2337,13-02-2024
130,Baran,Wheat,FAQ,2550,2651,2600,27-09-2024
131,Baran,Wheat,FAQ,2515,2590,2552,16-08-2024
132,Baran,Wheat,FAQ,2702,2861,2781,02-12-2024
133,Baran,Wheat,FAQ,2375,2581,2478,29-05-2024
134,Baran,Wheat,FAQ,2585,2719,2652,26-09-2024
135,Baran,Wheat,FAQ,2260,2567,2413,29-02-2024
136,Baran,Wheat,FAQ,2495,2585,2540,26-07-2024
137,Baran,Wheat,FAQ,2518,2790,2654,18-01-2024
138,Baran,Wheat,FAQ,2169,2558,2363,20-03-2024
139,Baran,Wheat,FAQ,2500,2591,2545,31-07-2024
140,Baran,Wheat,FAQ,2200,2934,2567,18-03-2024
141,Baran,Wheat,FAQ,2190,2447,2318,27-03-2024
142,Baran,Wheat,FAQ,2222,2450,2336,16-02-2024
143,Baran,Wheat,FAQ,2300,2631,2465,04-03-2024
144,Baran,Wheat,FAQ,2565,2630,2597,30-08-2024
145,Baran,Wheat,FAQ,2428,2648,2538,28-09-2024
146,Baran,Wheat,FAQ,2320,2564,2442,28-05-2024
147,Baran,Wheat,FAQ,2150,2625,2387,22-03-2024
148,Baran,Wheat,FAQ,2418,2630,2524,21-06-2024
149,Baran,Wheat,FAQ,2740,2838,2789,24-12-2024
150,Baran,Wheat,FAQ,2370,2620,2495,18-06-2024
