Sl no.,Centre Name,Commodity,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Dausa,Wheat,FAQ,2100,2500,2300,04-Mar-24
2,Dausa,Wheat,FAQ,2525,2541,2533,02-Sep-24
3,Dausa,Wheat,FAQ,2230,2560,2395,24-Jan-24
4,Dausa,Wheat,FAQ,2270,2270,2270,08-Jan-24
5,Dausa,Wheat,FAQ,2400,2406,2403,31-Jul-24
6,Dausa,Wheat,FAQ,2600,2700,2650,07-Oct-24
7,Dausa,Wheat,FAQ,2370,2575,2472,09-Feb-24
8,Dausa,Wheat,FAQ,2100,2450,2275,25-Feb-24
9,Dausa,Wheat,FAQ,2150,2365,2257,28-Feb-24
10,Dausa,Wheat,FAQ,2590,2700,2645,10-Oct-24
11,Dausa,Wheat,FAQ,2525,2600,2562,30-Aug-24
12,Dausa,Wheat,FAQ,2290,2510,2400,26-Apr-24
13,Dausa,Wheat,FAQ,2750,2850,2800,10-Nov-24
14,Dausa,Wheat,FAQ,2400,2425,2412,14-Jul-24
15,Dausa,Wheat,FAQ,2200,2380,2290,15-Mar-24
16,Dausa,Wheat,FAQ,2780,2930,2855,15-Nov-24
17,Dausa,Wheat,FAQ,2151,5151,3651,11-Jan-24
18,Dausa,Wheat,FAQ,2330,2425,2377,19-May-24
19,Dausa,Wheat,FAQ,2750,2750,2750,24-Nov-24
20,Dausa,Wheat,FAQ,2750,2850,2800,07-Nov-24
21,Dausa,Wheat,FAQ,2150,2780,2465,01-Jan-24
22,Dausa,Wheat,FAQ,2500,2581,2540,01-Sep-24
23,Dausa,Wheat,FAQ,2100,2201,2150,03-Jan-24
24,Dausa,Wheat,FAQ,2620,2620,2620,02-Feb-24
25,Dausa,Wheat,FAQ,2490,2641,2565,12-Aug-24
26,Dausa,Wheat,FAQ,2700,2800,2750,07-Dec-24
27,Dausa,Wheat,FAQ,2350,2448,2399,05-Jun-24
28,Dausa,Wheat,FAQ,2100,2500,2300,08-Mar-24
29,Dausa,Wheat,FAQ,2400,2600,2500,27-May-24
30,Dausa,Wheat,FAQ,2430,2471,2450,13-Jun-24
31,Dausa,Wheat,FAQ,2430,2480,2455,22-Jun-24
32,Dausa,Wheat,FAQ,2350,2850,2600,20-Jan-24
33,Dausa,Wheat,FAQ,2750,2800,2775,25-Nov-24
34,Dausa,Wheat,FAQ,2250,2280,2265,16-Mar-24
35,Dausa,Wheat,FAQ,2740,2790,2765,28-Nov-24
36,Dausa,Wheat,FAQ,2430,2455,2442,07-Jul-24
37,Dausa,Wheat,FAQ,2810,2920,2865,16-Nov-24
38,Dausa,Wheat,FAQ,2650,2750,2700,25-Oct-24
39,Dausa,Wheat,FAQ,2200,2501,2350,14-Feb-24
40,Dausa,Wheat,FAQ,2310,2500,2405,17-Mar-24
41,Dausa,Wheat,FAQ,2510,2510,2510,10-Jan-24
42,Dausa,Wheat,FAQ,2315,2478,2396,01-May-24
43,Dausa,Wheat,FAQ,2532,2590,2561,14-Sep-24
44,Dausa,Wheat,FAQ,2368,2433,2400,12-May-24
45,Dausa,Wheat,FAQ,2521,2530,2525,05-Sep-24
46,Dausa,Wheat,FAQ,2301,2610,2455,27-Jan-24
47,Dausa,Wheat,FAQ,2398,2445,2421,27-Jul-24
48,Dausa,Wheat,FAQ,2750,2870,2810,21-Nov-24
49,Dausa,Wheat,FAQ,2270,2335,2302,18-May-24
50,Dausa,Wheat,FAQ,2650,2750,2700,14-Oct-24
51,Dausa,Wheat,FAQ,2750,3001,2875,06-Nov-24
52,Dausa,Wheat,FAQ,2350,2425,2387,13-Jul-24
53,Dausa,Wheat,FAQ,2445,2500,2472,30-Jun-24
54,Dausa,Wheat,FAQ,2400,2412,2406,02-Aug-24
55,Dausa,Wheat,FAQ,2610,2640,2625,26-Sep-24
56,Dausa,Wheat,FAQ,2440,2490,2465,17-Jun-24
57,Dausa,Wheat,FAQ,2100,2615,2357,10-Feb-24
58,Dausa,Wheat,FAQ,2150,2550,2350,05-Jan-24
59,Dausa,Wheat,FAQ,2750,2800,2775,23-Nov-24
60,Dausa,Wheat,FAQ,2550,2611,2580,20-Sep-24
61,Dausa,Wheat,FAQ,2200,2460,2330,12-Feb-24
62,Dausa,Wheat,FAQ,2770,2850,2810,21-Dec-24
63,Dausa,Wheat,FAQ,2760,2920,2840,18-Dec-24
64,Dausa,Wheat,FAQ,2310,2421,2365,28-Apr-24
65,Dausa,Wheat,FAQ,2740,2800,2770,24-Oct-24
66,Dausa,Wheat,FAQ,2835,2895,2865,20-Dec-24
67,Dausa,Wheat,FAQ,2430,2450,2440,03-Jul-24
68,Dausa,Wheat,FAQ,2875,3001,2938,29-Dec-24
