Sl no.,Centre Name,Commodity,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Jalaun (Orai),Wheat,FAQ,2275,2285,2280,16-04-2024
2,Jalaun (Orai),Wheat,FAQ,2275,2290,2280,02-05-2024
3,Jalaun (Orai),Wheat,FAQ,2275,2290,2280,03-05-2024
4,Jalaun (Orai),Wheat,FAQ,2275,2290,2280,07-05-2024
5,Jalaun (Orai),Wheat,FAQ,2275,2290,2280,11-05-2024
6,Jalaun (Orai),Wheat,FAQ,2275,2290,2280,13-05-2024
7,Jalaun (Orai),Wheat,FAQ,2275,2290,2285,15-05-2024
8,Jalaun (Orai),Wheat,FAQ,2275,2295,2285,06-05-2024
9,Jalaun (Orai),Wheat,FAQ,2275,2295,2285,12-05-2024
10,Jalaun (Orai),Wheat,FAQ,2275,2295,2285,14-05-2024
11,Jalaun (Orai),Wheat,FAQ,2275,2300,2280,04-05-2024
12,Jalaun (Orai),Wheat,FAQ,2275,2300,2280,10-05-2024
13,Jalaun (Orai),Wheat,FAQ,2275,2300,2280,20-04-2024
14,Jalaun (Orai),Wheat,FAQ,2275,2300,2280,21-04-2024
15,Jalaun (Orai),Wheat,FAQ,2275,2300,2285,01-05-2024
16,Jalaun (Orai),Wheat,FAQ,2275,2300,2285,08-05-2024
17,Jalaun (Orai),Wheat,FAQ,2275,2300,2285,09-05-2024
18,Jalaun (Orai),Wheat,FAQ,2275,2300,2285,16-05-2024
19,Jalaun (Orai),Wheat,FAQ,2275,2300,2285,17-04-2024
20,Jalaun (Orai),Wheat,FAQ,2275,2300,2285,19-04-2024
21,Jalaun (Orai),Wheat,FAQ,2275,2300,2285,23-04-2024
22,Jalaun (Orai),Wheat,FAQ,2275,2300,2285,27-04-2024
23,Jalaun (Orai),Wheat,FAQ,2275,2300,2285,28-04-2024
24,Jalaun (Orai),Wheat,FAQ,2275,2300,2290,02-04-2024
25,Jalaun (Orai),Wheat,FAQ,2275,2300,2290,22-04-2024
26,Jalaun (Orai),Wheat,FAQ,2275,2300,2290,26-04-2024
27,Jalaun (Orai),Wheat,FAQ,2275,2300,2290,30-04-2024
28,Jalaun (Orai),Wheat,FAQ,2275,2305,2285,25-04-2024
29,Jalaun (Orai),Wheat,FAQ,2275,2305,2285,29-04-2024
30,Jalaun (Orai),Wheat,FAQ,2275,2305,2290,24-04-2024
31,Jalaun (Orai),Wheat,FAQ,2275,2320,2290,18-05-2024
32,Jalaun (Orai),Wheat,FAQ,2275,2320,2300,20-05-2024
33,Jalaun (Orai),Wheat,FAQ,2275,2330,2295,17-05-2024
34,Jalaun (Orai),Wheat,FAQ,2276,2290,2280,03-04-2024
35,Jalaun (Orai),Wheat,FAQ,2276,2300,2290,18-04-2024
36,Jalaun (Orai),Wheat,FAQ,2280,2285,2283,14-04-2024
37,Jalaun (Orai),Wheat,FAQ,2280,2290,2285,01-04-2024
38,Jalaun (Orai),Wheat,FAQ,2280,2290,2285,11-04-2024
39,Jalaun (Orai),Wheat,FAQ,2280,2290,2285,13-04-2024
40,Jalaun (Orai),Wheat,FAQ,2280,2295,2285,12-04-2024
41,Jalaun (Orai),Wheat,FAQ,2280,2300,2290,04-04-2024
42,Jalaun (Orai),Wheat,FAQ,2280,2300,2290,15-04-2024
43,Jalaun (Orai),Wheat,FAQ,2280,2310,2300,21-05-2024
44,Jalaun (Orai),Wheat,FAQ,2280,2380,2320,23-05-2024
45,Jalaun (Orai),Wheat,FAQ,2280,2400,2350,22-05-2024
46,Jalaun (Orai),Wheat,FAQ,2300,2380,2340,29-03-2024
47,Jalaun (Orai),Wheat,FAQ,2300,2380,2340,31-03-2024
48,Jalaun (Orai),Wheat,FAQ,2300,2400,2350,28-05-2024
49,Jalaun (Orai),Wheat,FAQ,2300,2421,2350,24-05-2024
50,Jalaun (Orai),Wheat,FAQ,2303,2303,2303,10-04-2024
51,Jalaun (Orai),Wheat,FAQ,2310,2401,2360,30-03-2024
52,Jalaun (Orai),Wheat,FAQ,2320,2400,2360,25-05-2024
53,Jalaun (Orai),Wheat,FAQ,2340,2375,2360,05-06-2024
54,Jalaun (Orai),Wheat,FAQ,2350,2370,2360,04-06-2024
55,Jalaun (Orai),Wheat,FAQ,2350,2380,2375,03-06-2024
56,Jalaun (Orai),Wheat,FAQ,2350,2399,2370,07-06-2024
57,Jalaun (Orai),Wheat,FAQ,2350,2410,2360,06-06-2024
58,Jalaun (Orai),Wheat,FAQ,2350,2411,2400,11-06-2024
59,Jalaun (Orai),Wheat,FAQ,2350,2422,2380,26-05-2024
60,Jalaun (Orai),Wheat,FAQ,2355,2410,2390,27-05-2024
