Sl no.,District Name,Commodity,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Banda,Gur(Jaggery),FAQ,3930,4090,4010,01-05-2024
2,Banda,Gur(Jaggery),FAQ,4550,4710,4630,31-08-2024
3,Banda,Gur(Jaggery),FAQ,3775,3930,3850,21-02-2024
4,Banda,Gur(Jaggery),FAQ,4535,4735,4635,09-11-2024
5,Banda,Gur(Jaggery),FAQ,3950,4100,4025,26-06-2024
6,Banda,Gur(Jaggery),FAQ,3925,4070,3990,16-04-2024
7,Banda,Gur(Jaggery),FAQ,3950,4150,4050,16-05-2024
8,Banda,Gur(Jaggery),FAQ,3900,4065,3980,28-01-2024
9,Banda,Gur(Jaggery),FAQ,3990,4150,4070,22-07-2024
10,Banda,Gur(Jaggery),FAQ,3925,4075,4000,11-07-2024
11,Banda,Gur(Jaggery),FAQ,4425,4625,4525,21-11-2024
12,Banda,Gur(Jaggery),FAQ,4000,4150,4075,19-06-2024
13,Banda,Gur(Jaggery),FAQ,3900,4050,3970,18-04-2024
14,Banda,Gur(Jaggery),FAQ,4625,4775,4700,25-08-2024
15,Banda,Gur(Jaggery),FAQ,3900,4050,3980,23-01-2024
16,Banda,Gur(Jaggery),FAQ,4420,4620,4520,30-11-2024
17,Banda,Gur(Jaggery),FAQ,3950,4150,4050,23-07-2024
18,Banda,Gur(Jaggery),FAQ,3900,4060,3980,10-04-2024
19,Banda,Gur(Jaggery),FAQ,3860,4010,3935,07-03-2024
20,Banda,Gur(Jaggery),FAQ,4550,4750,4650,01-10-2024
21,Banda,Gur(Jaggery),FAQ,3950,4095,4025,12-06-2024
22,Banda,Gur(Jaggery),FAQ,3940,4080,4010,07-05-2024
23,Banda,Gur(Jaggery),FAQ,3920,4060,3990,27-01-2024
24,Banda,Gur(Jaggery),FAQ,4420,4620,4520,11-12-2024
25,Banda,Gur(Jaggery),FAQ,3950,4090,4020,25-05-2024
26,Banda,Gur(Jaggery),FAQ,3830,3975,3900,03-02-2024
27,Banda,Gur(Jaggery),FAQ,4650,4795,4720,28-08-2024
28,Banda,Gur(Jaggery),FAQ,4575,4730,4650,07-11-2024
29,Banda,Gur(Jaggery),FAQ,3950,4095,4020,11-06-2024
30,Banda,Gur(Jaggery),FAQ,4550,4750,4650,30-10-2024
31,Banda,Gur(Jaggery),FAQ,3900,4050,3975,13-03-2024
32,Banda,Gur(Jaggery),FAQ,3810,3950,3880,24-02-2024
