Sl no.,District Name,Commodity,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bahraich,Gur(Jaggery),FAQ,3750,3900,3825,15-01-2024
2,Bahraich,Gur(Jaggery),FAQ,3850,4000,3920,20-02-2024
3,Bahraich,Gur(Jaggery),FAQ,3800,3950,3875,08-03-2024
4,Bahraich,Gur(Jaggery),FAQ,3750,3900,3820,07-02-2024
5,Bahraich,Gur(Jaggery),FAQ,3700,3900,3800,11-01-2024
6,Bahraich,Gur(Jaggery),FAQ,4600,4750,4675,19-10-2024
7,Bahraich,Gur(Jaggery),FAQ,4600,4800,4700,25-06-2024
8,Bahraich,Gur(Jaggery),FAQ,4000,4150,4080,18-04-2024
9,Bahraich,Gur(Jaggery),FAQ,4725,4900,4800,12-07-2024
10,Bahraich,Gur(Jaggery),FAQ,4100,4250,4175,08-05-2024
11,Bahraich,Gur(Jaggery),FAQ,4800,4950,4875,09-07-2024
12,Bahraich,Gur(Jaggery),FAQ,4050,4230,4150,07-05-2024
13,Bahraich,Gur(Jaggery),FAQ,4600,4900,4715,26-06-2024
14,Bahraich,Gur(Jaggery),FAQ,4050,4200,4120,04-05-2024
15,Bahraich,Gur(Jaggery),FAQ,4700,4950,4815,02-07-2024
16,Bahraich,Gur(Jaggery),FAQ,4400,4550,4480,11-06-2024
17,Bahraich,Gur(Jaggery),FAQ,4800,5000,4915,28-10-2024
18,Bahraich,Gur(Jaggery),FAQ,4850,5050,4950,30-10-2024
19,Bahraich,Gur(Jaggery),FAQ,4300,4450,4385,30-12-2024
20,Bahraich,Gur(Jaggery),FAQ,4250,4450,4355,02-12-2024
21,Bahraich,Gur(Jaggery),FAQ,4200,4300,4255,15-05-2024
22,Bahraich,Gur(Jaggery),FAQ,4575,4715,4650,21-08-2024
23,Bahraich,Gur(Jaggery),FAQ,4550,4750,4650,23-08-2024
24,Bahraich,Gur(Jaggery),FAQ,4200,4450,4320,18-12-2024
25,Bahraich,Gur(Jaggery),FAQ,4550,4750,4650,22-06-2024
26,Bahraich,Gur(Jaggery),FAQ,4700,4900,4800,24-10-2024
27,Bahraich,Gur(Jaggery),FAQ,4800,5000,4920,14-11-2024
28,Bahraich,Gur(Jaggery),FAQ,3750,3900,3815,12-02-2024
29,Bahraich,Gur(Jaggery),FAQ,4600,4750,4670,18-10-2024
30,Bahraich,Gur(Jaggery),FAQ,3700,3900,3815,27-01-2024
31,Bahraich,Gur(Jaggery),FAQ,3800,3900,3850,30-01-2024
32,Bahraich,Gur(Jaggery),FAQ,4700,4925,4810,13-07-2024
33,Bahraich,Gur(Jaggery),FAQ,4000,4175,4095,12-04-2024
34,Bahraich,Gur(Jaggery),FAQ,4400,4600,4500,31-05-2024
35,Bahraich,Gur(Jaggery),FAQ,4300,4500,4400,25-05-2024
36,Bahraich,Gur(Jaggery),FAQ,4800,4950,4880,08-07-2024
37,Bahraich,Gur(Jaggery),FAQ,4850,5000,4930,16-11-2024
38,Bahraich,Gur(Jaggery),FAQ,4620,4800,4700,20-11-2024
39,Bahraich,Gur(Jaggery),FAQ,3850,4050,3960,22-03-2024
40,Bahraich,Gur(Jaggery),FAQ,3800,3975,3880,02-03-2024
41,Bahraich,Gur(Jaggery),FAQ,4600,4750,4680,07-09-2024
42,Bahraich,Gur(Jaggery),FAQ,4600,4700,4650,27-09-2024
43,Bahraich,Gur(Jaggery),FAQ,4500,4675,4580,01-08-2024
44,Bahraich,Gur(Jaggery),FAQ,3680,3850,3760,04-01-2024
45,Bahraich,Gur(Jaggery),FAQ,3700,3900,3810,03-02-2024
46,Bahraich,Gur(Jaggery),FAQ,3800,4000,3900,09-03-2024
47,Bahraich,Gur(Jaggery),FAQ,4500,4800,4665,03-08-2024
48,Bahraich,Gur(Jaggery),FAQ,4200,4350,4280,14-12-2024
49,Bahraich,Gur(Jaggery),FAQ,4600,4750,4680,02-09-2024
50,Bahraich,Gur(Jaggery),FAQ,3750,3900,3810,17-01-2024
51,Bahraich,Gur(Jaggery),FAQ,4000,4150,4075,26-04-2024
52,Bahraich,Gur(Jaggery),FAQ,4800,5000,4880,08-11-2024
53,Bahraich,Gur(Jaggery),FAQ,3725,3900,3810,06-02-2024
54,Bahraich,Gur(Jaggery),FAQ,4600,4750,4685,10-09-2024
55,Bahraich,Gur(Jaggery),FAQ,4550,4750,4655,22-08-2024
56,Bahraich,Gur(Jaggery),FAQ,4300,4450,4380,23-05-2024
57,Bahraich,Gur(Jaggery),FAQ,4270,4400,4325,21-12-2024
58,Bahraich,Gur(Jaggery),FAQ,3700,3925,3815,05-02-2024
