Sl no.,Centre Name,,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Burhanpur,,Jowar(Sorghum),1300,1821,1821,12-11-2024
2,Burhanpur,,Jowar(Sorghum),1300,2290,2290,23-10-2024
3,Burhanpur,,Jowar(Sorghum),1301,1800,1800,15-10-2024
4,Burhanpur,,Jowar(Sorghum),1355,1861,1861,08-11-2024
5,Burhanpur,,Jowar(Sorghum),1481,2150,2150,28-10-2024
6,Burhanpur,,Jowar(Sorghum),1500,2003,2003,14-10-2024
7,Burhanpur,,Jowar(Sorghum),1501,1765,1765,16-10-2024
8,Burhanpur,,Jowar(Sorghum),1575,2333,2333,18-10-2024
9,Burhanpur,,Jowar(Sorghum),1600,1600,1600,01-08-2024
10,Burhanpur,,Jowar(Sorghum),1600,2120,2120,16-05-2024
11,Burhanpur,,Jowar(Sorghum),1600,2226,2226,25-10-2024
12,Burhanpur,,Jowar(Sorghum),1622,2329,2329,21-10-2024
13,Burhanpur,,Jowar(Sorghum),1625,1900,1900,04-11-2024
14,Burhanpur,,Jowar(Sorghum),1675,1715,1715,29-10-2024
15,Burhanpur,,Jowar(Sorghum),1700,2079,2079,03-05-2024
16,Burhanpur,,Jowar(Sorghum),1700,2216,2216,24-10-2024
17,Burhanpur,,Jowar(Sorghum),1750,1750,1750,01-01-2025
18,Burhanpur,,Jowar(Sorghum),1755,1755,1755,05-11-2024
19,Burhanpur,,Jowar(Sorghum),1790,1790,1790,06-11-2024
20,Burhanpur,,Jowar(Sorghum),1791,1791,1791,22-10-2024
21,Burhanpur,,Jowar(Sorghum),1805,1805,1805,30-12-2024
22,Burhanpur,,Jowar(Sorghum),1819,2035,2035,26-04-2024
23,Burhanpur,,Jowar(Sorghum),1835,1835,1835,13-11-2024
24,Burhanpur,,Jowar(Sorghum),1859,2202,2183,28-05-2024
25,Burhanpur,,Jowar(Sorghum),1866,2000,2000,06-05-2024
26,Burhanpur,,Jowar(Sorghum),1868,2050,2050,09-05-2024
27,Burhanpur,,Jowar(Sorghum),1875,1886,1886,18-11-2024
28,Burhanpur,,Jowar(Sorghum),1900,1900,1900,08-05-2024
29,Burhanpur,,Jowar(Sorghum),1900,2000,2000,25-11-2024
30,Burhanpur,,Jowar(Sorghum),1900,2151,2151,05-12-2024
31,Burhanpur,,Jowar(Sorghum),1900,2203,2203,30-05-2024
32,Burhanpur,,Jowar(Sorghum),1900,2250,2250,05-06-2024
33,Burhanpur,,Jowar(Sorghum),1908,2055,2055,29-04-2024
34,Burhanpur,,Jowar(Sorghum),1926,1926,1926,19-04-2024
35,Burhanpur,,Jowar(Sorghum),1929,2280,2280,15-05-2024
36,Burhanpur,,Jowar(Sorghum),1936,1936,1936,19-12-2024
37,Burhanpur,,Jowar(Sorghum),1939,2003,2003,07-05-2024
38,Burhanpur,,Jowar(Sorghum),1945,2238,2238,23-12-2024
