Sl no.,District Name,Commodity,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Mandya,Gur(Jaggery),FAQ,3300,3700,3600,05-02-2024
2,Mandya,Gur(Jaggery),FAQ,3300,4440,4150,07-05-2024
3,Mandya,Gur(Jaggery),FAQ,3300,4580,4200,03-05-2024
4,Mandya,Gur(Jaggery),FAQ,3350,3740,3600,26-02-2024
5,Mandya,Gur(Jaggery),FAQ,3350,4320,4170,11-06-2024
6,Mandya,Gur(Jaggery),FAQ,3350,4380,4200,06-06-2024
7,Mandya,Gur(Jaggery),FAQ,3400,3670,3550,13-02-2024
8,Mandya,Gur(Jaggery),FAQ,3400,3680,3600,09-02-2024
9,Mandya,Gur(Jaggery),FAQ,3400,3700,3600,06-02-2024
10,Mandya,Gur(Jaggery),FAQ,3400,3730,3600,20-02-2024
11,Mandya,Gur(Jaggery),FAQ,3400,3730,3650,09-03-2024
12,Mandya,Gur(Jaggery),FAQ,3400,3760,3640,07-02-2024
13,Mandya,Gur(Jaggery),FAQ,3400,3780,3650,30-01-2024
14,Mandya,Gur(Jaggery),FAQ,3400,3800,3650,22-02-2024
15,Mandya,Gur(Jaggery),FAQ,3400,3800,3650,26-03-2024
16,Mandya,Gur(Jaggery),FAQ,3400,3800,3680,24-01-2024
17,Mandya,Gur(Jaggery),FAQ,3400,3830,3680,12-02-2024
18,Mandya,Gur(Jaggery),FAQ,3400,3840,3700,07-03-2024
19,Mandya,Gur(Jaggery),FAQ,3400,3880,3650,11-03-2024
20,Mandya,Gur(Jaggery),FAQ,3400,3890,3680,31-01-2024
21,Mandya,Gur(Jaggery),FAQ,3400,3900,3750,05-03-2024
22,Mandya,Gur(Jaggery),FAQ,3400,3910,3750,24-02-2024
23,Mandya,Gur(Jaggery),FAQ,3400,3920,3760,19-02-2024
24,Mandya,Gur(Jaggery),FAQ,3400,4050,3800,01-03-2024
25,Mandya,Gur(Jaggery),FAQ,3400,4100,3950,12-03-2024
26,Mandya,Gur(Jaggery),FAQ,3400,4150,3900,03-07-2024
27,Mandya,Gur(Jaggery),FAQ,3400,4160,3950,28-03-2024
28,Mandya,Gur(Jaggery),FAQ,3400,4180,4050,21-03-2024
29,Mandya,Gur(Jaggery),FAQ,3400,4200,4000,01-04-2024
30,Mandya,Gur(Jaggery),FAQ,3400,4230,3950,25-03-2024
31,Mandya,Gur(Jaggery),FAQ,3400,4280,4000,30-03-2024
32,Mandya,Gur(Jaggery),FAQ,3400,4300,4000,08-11-2024
33,Mandya,Gur(Jaggery),FAQ,3400,4330,4050,18-03-2024
34,Mandya,Gur(Jaggery),FAQ,3400,4400,4000,20-07-2024
35,Mandya,Gur(Jaggery),FAQ,3400,4400,4150,22-05-2024
36,Mandya,Gur(Jaggery),FAQ,3400,4640,4300,17-05-2024
37,Mandya,Gur(Jaggery),FAQ,3400,4700,4300,05-04-2024
38,Mandya,Gur(Jaggery),FAQ,3400,4850,4500,15-05-2024
39,Mandya,Gur(Jaggery),FAQ,3450,3680,3600,08-02-2024
40,Mandya,Gur(Jaggery),FAQ,3450,3750,3600,14-02-2024
41,Mandya,Gur(Jaggery),FAQ,3450,3760,3650,10-02-2024
42,Mandya,Gur(Jaggery),FAQ,3450,3780,3650,23-02-2024
43,Mandya,Gur(Jaggery),FAQ,3450,3830,3680,21-02-2024
44,Mandya,Gur(Jaggery),FAQ,3450,3870,3700,06-03-2024
45,Mandya,Gur(Jaggery),FAQ,3450,3930,3700,16-02-2024
46,Mandya,Gur(Jaggery),FAQ,3450,3940,3720,15-02-2024
47,Mandya,Gur(Jaggery),FAQ,3450,3980,3780,27-02-2024
48,Mandya,Gur(Jaggery),FAQ,3450,4000,3750,29-02-2024
49,Mandya,Gur(Jaggery),FAQ,3450,4000,3800,28-02-2024
50,Mandya,Gur(Jaggery),FAQ,3450,4160,3900,13-03-2024
51,Mandya,Gur(Jaggery),FAQ,3450,4170,3850,11-07-2024
52,Mandya,Gur(Jaggery),FAQ,3450,4230,4000,22-03-2024
53,Mandya,Gur(Jaggery),FAQ,3450,4270,4100,15-06-2024
54,Mandya,Gur(Jaggery),FAQ,3450,4370,4000,12-07-2024
55,Mandya,Gur(Jaggery),FAQ,3450,4395,4100,24-06-2024
56,Mandya,Gur(Jaggery),FAQ,3450,4430,4200,13-06-2024
57,Mandya,Gur(Jaggery),FAQ,3500,3700,3600,03-02-2024
58,Mandya,Gur(Jaggery),FAQ,3500,3730,3650,01-02-2024
59,Mandya,Gur(Jaggery),FAQ,3500,3730,3650,25-01-2024
60,Mandya,Gur(Jaggery),FAQ,3500,3800,3700,02-02-2024
61,Mandya,Gur(Jaggery),FAQ,3500,3850,3750,27-01-2024
62,Mandya,Gur(Jaggery),FAQ,3500,3870,3750,17-02-2024
63,Mandya,Gur(Jaggery),FAQ,3500,3880,3710,23-01-2024
64,Mandya,Gur(Jaggery),FAQ,3500,3900,3780,29-01-2024
65,Mandya,Gur(Jaggery),FAQ,3500,3940,3780,01-10-2024
66,Mandya,Gur(Jaggery),FAQ,3500,3940,3800,15-10-2024
