Sl no.,Centre Name,Commodity,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Mirzapur,Wheat,FAQ,2275,2300,2275,15-04-2024
2,Mirzapur,Wheat,FAQ,2500,2630,2550,13-02-2024
3,Mirzapur,Wheat,FAQ,2300,2400,2350,08-06-2024
4,Mirzapur,Wheat,FAQ,2450,2600,2520,01-01-2024
5,Mirzapur,Wheat,FAQ,2450,2650,2530,01-03-2024
6,Mirzapur,Wheat,FAQ,2275,2320,2280,26-04-2024
7,Mirzapur,Wheat,FAQ,2350,2450,2400,30-06-2024
8,Mirzapur,Wheat,FAQ,2300,2500,2400,27-06-2024
9,Mirzapur,Wheat,FAQ,2500,2600,2540,10-03-2024
10,Mirzapur,Wheat,FAQ,2500,2650,2540,25-01-2024
11,Mirzapur,Wheat,FAQ,2275,2400,2325,09-05-2024
12,Mirzapur,Wheat,FAQ,2275,2400,2320,03-06-2024
13,Mirzapur,Wheat,FAQ,2450,2600,2530,12-02-2024
14,Mirzapur,Wheat,FAQ,2450,2650,2530,01-02-2024
15,Mirzapur,Wheat,FAQ,2275,2360,2320,07-05-2024
16,Mirzapur,Wheat,FAQ,2250,2400,2310,26-05-2024
17,Mirzapur,Wheat,FAQ,2275,2350,2285,25-04-2024
18,Mirzapur,Wheat,FAQ,2300,2450,2360,12-06-2024
19,Mirzapur,Wheat,FAQ,2350,2500,2430,22-03-2024
20,Mirzapur,Wheat,FAQ,2275,2350,2310,17-05-2024
21,Mirzapur,Wheat,FAQ,2500,2680,2580,24-02-2024
22,Mirzapur,Wheat,FAQ,2275,2350,2275,20-04-2024
23,Mirzapur,Wheat,FAQ,2275,2350,2310,04-05-2024
24,Mirzapur,Wheat,FAQ,2500,2650,2580,22-02-2024
25,Mirzapur,Wheat,FAQ,2275,2320,2280,29-04-2024
26,Mirzapur,Wheat,FAQ,2450,2650,2550,26-02-2024
27,Mirzapur,Wheat,FAQ,2450,2620,2530,05-02-2024
28,Mirzapur,Wheat,FAQ,2275,2400,2320,23-05-2024
29,Mirzapur,Wheat,FAQ,2275,2400,2330,06-06-2024
30,Mirzapur,Wheat,FAQ,2300,2450,2370,08-04-2024
31,Mirzapur,Wheat,FAQ,2400,2600,2520,07-01-2024
32,Mirzapur,Wheat,FAQ,2275,2275,2275,23-04-2024
33,Mirzapur,Wheat,FAQ,2275,2300,2275,14-04-2024
34,Mirzapur,Wheat,FAQ,2420,2620,2520,05-01-2024
35,Mirzapur,Wheat,FAQ,2275,2350,2280,19-04-2024
36,Mirzapur,Wheat,FAQ,2500,2650,2580,16-02-2024
37,Mirzapur,Wheat,FAQ,2275,2350,2295,09-04-2024
38,Mirzapur,Wheat,FAQ,2350,2500,2410,19-03-2024
