Sl no.,Centre Name,,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Akola,,Jowar(Sorghum),1300,2300,1800,08-02-2024
2,Akola,,Jowar(Sorghum),1500,2210,2065,04-04-2024
3,Akola,,Jowar(Sorghum),1555,2105,2000,18-05-2024
4,Akola,,Jowar(Sorghum),1575,2370,1970,20-03-2024
5,Akola,,Jowar(Sorghum),1600,2165,1950,24-04-2024
6,Akola,,Jowar(Sorghum),1600,2320,2125,22-04-2024
7,Akola,,Jowar(Sorghum),1635,2155,2050,20-05-2024
8,Akola,,Jowar(Sorghum),1655,2500,2055,07-03-2024
9,Akola,,Jowar(Sorghum),1665,2375,2080,19-04-2024
10,Akola,,Jowar(Sorghum),1670,2305,2100,16-05-2024
11,Akola,,Jowar(Sorghum),1675,2395,2090,22-05-2024
12,Akola,,Jowar(Sorghum),1685,2265,2175,22-03-2024
13,Akola,,Jowar(Sorghum),1685,2550,2100,09-05-2024
14,Akola,,Jowar(Sorghum),1695,1695,1695,16-03-2024
15,Akola,,Jowar(Sorghum),1695,2400,2100,21-05-2024
16,Akola,,Jowar(Sorghum),1700,2055,1965,23-11-2024
17,Akola,,Jowar(Sorghum),1700,2165,2075,25-05-2024
18,Akola,,Jowar(Sorghum),1700,2235,2100,25-06-2024
19,Akola,,Jowar(Sorghum),1700,2850,2275,12-01-2024
20,Akola,,Jowar(Sorghum),1705,2150,2080,14-11-2024
21,Akola,,Jowar(Sorghum),1705,2355,2195,05-03-2024
22,Akola,,Jowar(Sorghum),1710,2830,2300,03-05-2024
23,Akola,,Jowar(Sorghum),1715,2500,2200,02-04-2024
24,Akola,,Jowar(Sorghum),1720,2280,2100,17-05-2024
25,Akola,,Jowar(Sorghum),1730,2215,2000,09-12-2024
26,Akola,,Jowar(Sorghum),1750,2350,2050,11-05-2024
27,Akola,,Jowar(Sorghum),1750,2480,2125,29-04-2024
28,Akola,,Jowar(Sorghum),1750,2530,2200,20-06-2024
29,Akola,,Jowar(Sorghum),1750,2635,2250,23-03-2024
30,Akola,,Jowar(Sorghum),1750,2815,2200,03-06-2024
31,Akola,,Jowar(Sorghum),1760,2400,2080,13-05-2024
32,Akola,,Jowar(Sorghum),1765,1765,1765,09-03-2024
33,Akola,,Jowar(Sorghum),1765,2550,2220,06-05-2024
34,Akola,,Jowar(Sorghum),1780,2100,2000,24-05-2024
35,Akola,,Jowar(Sorghum),1780,2530,2300,06-07-2024
36,Akola,,Jowar(Sorghum),1800,2125,2035,13-11-2024
37,Akola,,Jowar(Sorghum),1800,2155,2000,27-11-2024
38,Akola,,Jowar(Sorghum),1800,2155,2060,16-11-2024
39,Akola,,Jowar(Sorghum),1800,2175,2100,09-11-2024
40,Akola,,Jowar(Sorghum),1800,2195,2000,07-05-2024
41,Akola,,Jowar(Sorghum),1800,2200,2000,08-05-2024
42,Akola,,Jowar(Sorghum),1800,2275,2100,30-04-2024
43,Akola,,Jowar(Sorghum),1800,2350,2300,26-08-2024
44,Akola,,Jowar(Sorghum),1800,2400,2200,14-05-2024
45,Akola,,Jowar(Sorghum),1800,2425,2175,28-05-2024
46,Akola,,Jowar(Sorghum),1800,2500,2375,13-04-2024
47,Akola,,Jowar(Sorghum),1800,2900,2100,02-05-2024
48,Akola,,Jowar(Sorghum),1805,2175,2100,09-10-2024
49,Akola,,Jowar(Sorghum),1805,2200,2120,30-05-2024
50,Akola,,Jowar(Sorghum),1805,2260,1955,27-03-2024
51,Akola,,Jowar(Sorghum),1810,2395,2135,15-06-2024
52,Akola,,Jowar(Sorghum),1825,2605,2020,03-04-2024
53,Akola,,Jowar(Sorghum),1840,2040,1980,22-11-2024
54,Akola,,Jowar(Sorghum),1850,2075,2000,21-11-2024
55,Akola,,Jowar(Sorghum),1850,2115,2075,15-11-2024
56,Akola,,Jowar(Sorghum),1850,2120,2000,04-11-2024
57,Akola,,Jowar(Sorghum),1850,2125,1990,11-12-2024
58,Akola,,Jowar(Sorghum),1850,2170,2035,18-11-2024
59,Akola,,Jowar(Sorghum),1850,2250,2100,27-05-2024
60,Akola,,Jowar(Sorghum),1855,2005,1930,12-11-2024
61,Akola,,Jowar(Sorghum),1860,2515,2080,18-03-2024
62,Akola,,Jowar(Sorghum),1865,2205,2040,18-06-2024
63,Akola,,Jowar(Sorghum),1880,2030,1990,25-11-2024
64,Akola,,Jowar(Sorghum),1880,2425,2020,26-11-2024
65,Akola,,Jowar(Sorghum),1880,2425,2160,22-06-2024
66,Akola,,Jowar(Sorghum),1890,2130,2027,28-10-2024
