Sl no.,Centre Nane,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
86,Gonda,Masur Dal,7975,8025,8000,25-01-2024
87,Gonda,Masur Dal,7975,8025,8000,26-01-2024
88,Gonda,Masur Dal,7975,8025,8000,26-05-2024
89,Gonda,Masur Dal,7975,8025,8000,27-01-2024
90,Gonda,Masur Dal,7975,8050,8000,03-03-2024
91,Gonda,Masur Dal,7975,8050,8000,04-03-2024
92,Gonda,Masur Dal,7975,8050,8000,05-03-2024
93,Gonda,Masur Dal,7975,8050,8000,06-04-2024
94,Gonda,Masur Dal,7975,8050,8000,06-01-2024
95,Gonda,Masur Dal,7975,8050,8000,07-04-2024
96,Gonda,Masur Dal,7975,8050,8000,07-03-2024
97,Gonda,Masur Dal,7975,8050,8000,07-05-2024
98,Gonda,Masur Dal,7975,8050,8000,07-10-2024
99,Gonda,Masur Dal,7975,8050,8000,08-02-2024
100,Gonda,Masur Dal,7975,8050,8000,08-05-2024
101,Gonda,Masur Dal,7975,8050,8000,08-10-2024
102,Gonda,Masur Dal,7975,8050,8000,09-02-2024
103,Gonda,Masur Dal,7975,8050,8000,10-02-2024
104,Gonda,Masur Dal,7975,8050,8000,11-03-2024
105,Gonda,Masur Dal,7975,8050,8000,12-04-2024
106,Gonda,Masur Dal,7975,8050,8000,12-03-2024
107,Gonda,Masur Dal,7975,8050,8000,13-04-2024
108,Gonda,Masur Dal,7975,8050,8000,13-03-2024
109,Gonda,Masur Dal,7975,8050,8000,14-03-2024
110,Gonda,Masur Dal,7975,8050,8000,14-05-2024
111,Gonda,Masur Dal,7975,8050,8000,16-08-2024
112,Gonda,Masur Dal,7975,8050,8000,17-08-2024
113,Gonda,Masur Dal,7975,8050,8000,20-03-2024
114,Gonda,Masur Dal,7975,8050,8000,24-07-2024
115,Gonda,Masur Dal,7975,8050,8000,25-07-2024
116,Gonda,Masur Dal,7975,8050,8000,26-07-2024
117,Gonda,Masur Dal,7975,8050,8000,26-03-2024
118,Gonda,Masur Dal,7975,8050,8000,27-04-2024
119,Gonda,Masur Dal,7975,8050,8000,28-03-2024
120,Gonda,Masur Dal,7975,8050,8000,31-01-2024
121,Gonda,Masur Dal,7975,8100,8000,01-08-2024
122,Gonda,Masur Dal,7975,8100,8000,01-01-2025
123,Gonda,Masur Dal,7975,8100,8000,02-08-2024
124,Gonda,Masur Dal,7975,8100,8000,04-07-2024
125,Gonda,Masur Dal,7975,8100,8000,05-07-2024
126,Gonda,Masur Dal,7975,8100,8000,06-08-2024
127,Gonda,Masur Dal,7975,8100,8000,07-08-2024
128,Gonda,Masur Dal,7975,8100,8000,09-08-2024
129,Gonda,Masur Dal,7975,8100,8000,10-06-2024
130,Gonda,Masur Dal,7975,8100,8000,11-06-2024
131,Gonda,Masur Dal,7975,8100,8000,18-08-2024
132,Gonda,Masur Dal,7975,8100,8000,18-11-2024
133,Gonda,Masur Dal,7975,8100,8000,19-07-2024
134,Gonda,Masur Dal,7975,8100,8000,19-10-2024
135,Gonda,Masur Dal,7975,8100,8000,24-11-2024
136,Gonda,Masur Dal,7975,8100,8000,25-11-2024
137,Gonda,Masur Dal,7975,8100,8000,26-11-2024
138,Gonda,Masur Dal,7975,8100,8000,27-12-2024
139,Gonda,Masur Dal,7975,8100,8000,31-12-2024
140,Gonda,Masur Dal,7980,8050,8000,03-01-2024
141,Gonda,Masur Dal,7980,8050,8000,04-01-2024
142,Gonda,Masur Dal,7980,8050,8000,05-01-2024
143,Gonda,Masur Dal,7980,8050,8000,13-01-2024
144,Gonda,Masur Dal,7980,8050,8000,17-01-2024
