Sl no.,Centre Name,Commodity,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Amarawati,Wheat,FAQ,2200,3011,2606,22-02-2024
2,Amarawati,Wheat,FAQ,2650,2750,2700,04-10-2024
3,Amarawati,Wheat,FAQ,2550,2800,2650,10-08-2024
4,Amarawati,Wheat,FAQ,2250,2500,2375,04-03-2024
5,Amarawati,Wheat,FAQ,2210,2600,2410,02-04-2024
6,Amarawati,Wheat,FAQ,2500,2700,2600,17-09-2024
7,Amarawati,Wheat,FAQ,2500,2750,2625,07-08-2024
8,Amarawati,Wheat,FAQ,2270,2600,2435,19-03-2024
9,Amarawati,Wheat,FAQ,2750,2950,2850,28-10-2024
10,Amarawati,Wheat,FAQ,2600,3000,2800,21-10-2024
11,Amarawati,Wheat,FAQ,2400,2900,2650,06-06-2024
12,Amarawati,Wheat,FAQ,2600,2800,2700,19-09-2024
13,Amarawati,Wheat,FAQ,2600,2800,2700,12-09-2024
14,Amarawati,Wheat,FAQ,2500,2850,2625,06-07-2024
15,Amarawati,Wheat,FAQ,2500,2800,2600,05-07-2024
16,Amarawati,Wheat,FAQ,2700,3000,2750,11-11-2024
17,Amarawati,Wheat,FAQ,2500,2800,2650,13-07-2024
18,Amarawati,Wheat,FAQ,2250,3000,2625,23-02-2024
19,Amarawati,Wheat,FAQ,2200,2800,2500,03-09-2024
20,Amarawati,Wheat,FAQ,2050,2900,2475,06-12-2024
21,Amarawati,Wheat,FAQ,2150,2550,2350,05-04-2024
22,Amarawati,Wheat,FAQ,2250,2800,2525,11-09-2024
23,Amarawati,Wheat,FAQ,2700,3000,2850,12-11-2024
24,Amarawati,Wheat,FAQ,2550,2950,2750,16-12-2024
25,Amarawati,Wheat,FAQ,2400,2900,2650,29-01-2024
26,Amarawati,Wheat,FAQ,2400,2800,2600,20-05-2024
27,Amarawati,Wheat,FAQ,2400,2600,2500,08-01-2024
28,Amarawati,Wheat,FAQ,2300,2800,2550,23-05-2024
29,Amarawati,Wheat,FAQ,2600,2800,2700,24-09-2024
30,Amarawati,Wheat,FAQ,2700,3000,2850,28-12-2024
31,Amarawati,Wheat,FAQ,2400,2600,2500,27-04-2024
32,Amarawati,Wheat,FAQ,2000,2400,2200,06-03-2024
33,Amarawati,Wheat,FAQ,2500,2700,2600,26-06-2024
34,Amarawati,Wheat,FAQ,2330,2800,2565,15-03-2024
35,Amarawati,Wheat,FAQ,2400,2750,2575,21-02-2024
36,Amarawati,Wheat,FAQ,2250,2800,2525,30-08-2024
37,Amarawati,Wheat,FAQ,2550,2800,2675,01-08-2024
38,Amarawati,Wheat,FAQ,2890,3100,2995,07-11-2024
39,Amarawati,Wheat,FAQ,2700,2900,2800,30-12-2024
40,Amarawati,Wheat,FAQ,2500,2800,2650,10-07-2024
41,Amarawati,Wheat,FAQ,2400,2500,2450,15-04-2024
42,Amarawati,Wheat,FAQ,2300,3000,2550,18-05-2024
43,Amarawati,Wheat,FAQ,2300,2750,2525,06-05-2024
