Sl no.,District Name,Commodity,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Puruliya,Rice,FAQ,3700,3900,3800,06-01-2024
2,Puruliya,Rice,FAQ,3700,3900,3800,07-01-2024
3,Puruliya,Rice,FAQ,3700,3900,3800,08-01-2024
4,Puruliya,Rice,FAQ,3800,4000,3900,01-02-2024
5,Puruliya,Rice,FAQ,3800,4000,3900,01-01-2024
6,Puruliya,Rice,FAQ,3800,4000,3900,02-02-2024
7,Puruliya,Rice,FAQ,3800,4000,3900,02-01-2024
8,Puruliya,Rice,FAQ,3800,4000,3900,03-02-2024
9,Puruliya,Rice,FAQ,3800,4000,3900,03-01-2024
10,Puruliya,Rice,FAQ,3800,4000,3900,03-09-2024
11,Puruliya,Rice,FAQ,3800,4000,3900,04-02-2024
12,Puruliya,Rice,FAQ,3800,4000,3900,05-02-2024
13,Puruliya,Rice,FAQ,3800,4000,3900,05-01-2024
14,Puruliya,Rice,FAQ,3800,4000,3900,05-09-2024
15,Puruliya,Rice,FAQ,3800,4000,3900,06-02-2024
16,Puruliya,Rice,FAQ,3800,4000,3900,07-02-2024
17,Puruliya,Rice,FAQ,3800,4000,3900,08-02-2024
18,Puruliya,Rice,FAQ,3800,4000,3900,09-01-2024
19,Puruliya,Rice,FAQ,3800,4000,3900,09-09-2024
20,Puruliya,Rice,FAQ,3800,4000,3900,10-01-2024
21,Puruliya,Rice,FAQ,3800,4000,3900,11-01-2024
22,Puruliya,Rice,FAQ,3800,4000,3900,12-01-2024
23,Puruliya,Rice,FAQ,3800,4000,3900,13-01-2024
24,Puruliya,Rice,FAQ,3800,4000,3900,14-01-2024
25,Puruliya,Rice,FAQ,3800,4000,3900,15-01-2024
26,Puruliya,Rice,FAQ,3800,4000,3900,16-01-2024
27,Puruliya,Rice,FAQ,3800,4000,3900,17-01-2024
28,Puruliya,Rice,FAQ,3800,4000,3900,18-02-2024
29,Puruliya,Rice,FAQ,3800,4000,3900,18-01-2024
30,Puruliya,Rice,FAQ,3800,4000,3900,19-02-2024
31,Puruliya,Rice,FAQ,3800,4000,3900,19-01-2024
32,Puruliya,Rice,FAQ,3800,4000,3900,20-02-2024
33,Puruliya,Rice,FAQ,3800,4000,3900,20-01-2024
34,Puruliya,Rice,FAQ,3800,4000,3900,21-01-2024
35,Puruliya,Rice,FAQ,3800,4000,3900,22-01-2024
36,Puruliya,Rice,FAQ,3800,4000,3900,24-01-2024
37,Puruliya,Rice,FAQ,3800,4000,3900,25-01-2024
38,Puruliya,Rice,FAQ,3800,4000,3900,27-01-2024
39,Puruliya,Rice,FAQ,3800,4000,3900,28-01-2024
40,Puruliya,Rice,FAQ,3800,4000,3900,29-01-2024
41,Puruliya,Rice,FAQ,3800,4000,3900,30-01-2024
42,Puruliya,Rice,FAQ,3800,4000,3900,31-01-2024
43,Puruliya,Rice,FAQ,3800,4100,3900,01-03-2024
44,Puruliya,Rice,FAQ,3800,4100,3900,17-02-2024
45,Puruliya,Rice,FAQ,3800,4100,3900,21-02-2024
46,Puruliya,Rice,FAQ,3800,4100,3900,22-02-2024
47,Puruliya,Rice,FAQ,3800,4100,3900,23-02-2024
48,Puruliya,Rice,FAQ,3800,4100,3900,23-11-2024
49,Puruliya,Rice,FAQ,3800,4100,3900,28-02-2024
50,Puruliya,Rice,FAQ,3800,4100,3900,29-02-2024
51,Puruliya,Rice,FAQ,3800,4200,3900,02-03-2024
52,Puruliya,Rice,FAQ,3800,4200,3900,03-03-2024
53,Puruliya,Rice,FAQ,3800,4200,4000,04-03-2024
54,Puruliya,Rice,FAQ,3800,4200,4000,05-03-2024
55,Puruliya,Rice,FAQ,3800,4200,4000,08-03-2024
56,Puruliya,Rice,FAQ,3800,4200,4000,09-03-2024
57,Puruliya,Rice,FAQ,3800,4200,4000,11-03-2024
58,Puruliya,Rice,FAQ,3900,4100,4000,01-09-2024
59,Puruliya,Rice,FAQ,3900,4100,4000,02-09-2024
60,Puruliya,Rice,FAQ,3900,4100,4000,04-01-2024
61,Puruliya,Rice,FAQ,3900,4100,4000,04-09-2024
62,Puruliya,Rice,FAQ,3900,4100,4000,06-09-2024
63,Puruliya,Rice,FAQ,3900,4100,4000,07-09-2024
64,Puruliya,Rice,FAQ,3900,4100,4000,09-02-2024
65,Puruliya,Rice,FAQ,3900,4100,4000,10-09-2024
66,Puruliya,Rice,FAQ,3900,4100,4000,11-02-2024
67,Puruliya,Rice,FAQ,3900,4100,4000,11-09-2024
68,Puruliya,Rice,FAQ,3900,4100,4000,12-02-2024
69,Puruliya,Rice,FAQ,3900,4100,4000,14-02-2024
70,Puruliya,Rice,FAQ,3900,4100,4000,15-02-2024
71,Puruliya,Rice,FAQ,3900,4100,4000,20-09-2024
72,Puruliya,Rice,FAQ,3900,4100,4000,27-09-2024
73,Puruliya,Rice,FAQ,3900,4100,4000,28-09-2024
74,Puruliya,Rice,FAQ,3900,4100,4000,29-09-2024
75,Puruliya,Rice,FAQ,3900,4100,4000,30-09-2024
76,Puruliya,Rice,FAQ,3900,4200,4000,01-04-2024
77,Puruliya,Rice,FAQ,3900,4200,4000,01-10-2024
78,Puruliya,Rice,FAQ,3900,4200,4000,02-04-2024
79,Puruliya,Rice,FAQ,3900,4200,4000,02-10-2024
80,Puruliya,Rice,FAQ,3900,4200,4000,03-04-2024
81,Puruliya,Rice,FAQ,3900,4200,4000,03-10-2024
82,Puruliya,Rice,FAQ,3900,4200,4000,04-04-2024
83,Puruliya,Rice,FAQ,3900,4200,4000,04-10-2024
84,Puruliya,Rice,FAQ,3900,4200,4000,05-04-2024
85,Puruliya,Rice,FAQ,3900,4200,4000,05-10-2024
86,Puruliya,Rice,FAQ,3900,4200,4000,06-03-2024
87,Puruliya,Rice,FAQ,3900,4200,4000,07-03-2024
88,Puruliya,Rice,FAQ,3900,4200,4000,07-10-2024
89,Puruliya,Rice,FAQ,3900,4200,4000,08-09-2024
90,Puruliya,Rice,FAQ,3900,4200,4000,10-04-2024
91,Puruliya,Rice,FAQ,3900,4200,4000,10-02-2024
92,Puruliya,Rice,FAQ,3900,4200,4000,10-10-2024
93,Puruliya,Rice,FAQ,3900,4200,4000,11-04-2024
94,Puruliya,Rice,FAQ,3900,4200,4000,11-10-2024
95,Puruliya,Rice,FAQ,3900,4200,4000,12-04-2024
96,Puruliya,Rice,FAQ,3900,4200,4000,12-03-2024
97,Puruliya,Rice,FAQ,3900,4200,4000,15-11-2024
98,Puruliya,Rice,FAQ,3900,4200,4000,15-10-2024
99,Puruliya,Rice,FAQ,3900,4200,4000,16-03-2024
100,Puruliya,Rice,FAQ,3900,4200,4000,16-10-2024
101,Puruliya,Rice,FAQ,3900,4200,4000,16-09-2024
102,Puruliya,Rice,FAQ,3900,4200,4000,17-03-2024
103,Puruliya,Rice,FAQ,3900,4200,4000,17-10-2024
104,Puruliya,Rice,FAQ,3900,4200,4000,17-09-2024
105,Puruliya,Rice,FAQ,3900,4200,4000,18-03-2024
106,Puruliya,Rice,FAQ,3900,4200,4000,18-09-2024
107,Puruliya,Rice,FAQ,3900,4200,4000,19-03-2024
108,Puruliya,Rice,FAQ,3900,4200,4000,19-09-2024
109,Puruliya,Rice,FAQ,3900,4200,4000,20-03-2024
110,Puruliya,Rice,FAQ,3900,4200,4000,20-10-2024
111,Puruliya,Rice,FAQ,3900,4200,4000,21-03-2024
112,Puruliya,Rice,FAQ,3900,4200,4000,21-10-2024
113,Puruliya,Rice,FAQ,3900,4200,4000,21-09-2024
114,Puruliya,Rice,FAQ,3900,4200,4000,22-03-2024
115,Puruliya,Rice,FAQ,3900,4200,4000,22-09-2024
116,Puruliya,Rice,FAQ,3900,4200,4000,23-03-2024
117,Puruliya,Rice,FAQ,3900,4200,4000,25-10-2024
118,Puruliya,Rice,FAQ,3900,4200,4000,25-09-2024
119,Puruliya,Rice,FAQ,3900,4200,4000,26-02-2024
120,Puruliya,Rice,FAQ,3900,4200,4000,26-03-2024
121,Puruliya,Rice,FAQ,3900,4200,4000,26-10-2024
122,Puruliya,Rice,FAQ,3900,4200,4000,26-09-2024
123,Puruliya,Rice,FAQ,3900,4200,4000,27-02-2024
124,Puruliya,Rice,FAQ,3900,4200,4000,27-03-2024
125,Puruliya,Rice,FAQ,3900,4200,4000,27-10-2024
126,Puruliya,Rice,FAQ,3900,4200,4000,28-03-2024
127,Puruliya,Rice,FAQ,3900,4200,4000,28-10-2024
128,Puruliya,Rice,FAQ,3900,4200,4000,29-10-2024
129,Puruliya,Rice,FAQ,3900,4200,4000,30-03-2024
130,Puruliya,Rice,FAQ,3900,4200,4000,31-08-2024
131,Puruliya,Rice,FAQ,3900,4200,4000,31-03-2024
132,Puruliya,Rice,FAQ,3900,4200,4020,24-10-2024
133,Puruliya,Rice,FAQ,3900,4200,4050,08-10-2024
134,Puruliya,Rice,FAQ,3900,4200,4100,01-12-2024
135,Puruliya,Rice,FAQ,3900,4200,4100,06-10-2024
136,Puruliya,Rice,FAQ,3900,4200,4100,12-10-2024
137,Puruliya,Rice,FAQ,3900,4200,4100,13-10-2024
138,Puruliya,Rice,FAQ,3900,4200,4100,16-02-2024
139,Puruliya,Rice,FAQ,3900,4200,4100,22-10-2024
140,Puruliya,Rice,FAQ,3900,4210,4040,03-11-2024
141,Puruliya,Rice,FAQ,3920,4200,4000,01-11-2024
142,Puruliya,Rice,FAQ,3920,4200,4000,14-10-2024
143,Puruliya,Rice,FAQ,3920,4200,4000,19-10-2024
144,Puruliya,Rice,FAQ,3920,4200,4000,20-11-2024
145,Puruliya,Rice,FAQ,3920,4200,4000,21-11-2024
