Sl no.,Centre Name,Commodity,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Hissar,Wheat,FAQ,2275,2276,2275,03-05-2024
2,Hissar,Wheat,FAQ,2275,2276,2275,30-04-2024
3,Hissar,Wheat,FAQ,2275,2275,2275,10-05-2024
4,Hissar,Wheat,FAQ,2275,2276,2275,18-05-2024
5,Hissar,Wheat,FAQ,2275,2276,2275,13-05-2024
6,Hissar,Wheat,FAQ,2275,2276,2275,06-05-2024
7,Hissar,Wheat,FAQ,2275,2276,2276,11-05-2024
8,Hissar,Wheat,FAQ,2275,2276,2275,21-05-2024
9,Hissar,Wheat,FAQ,2275,2276,2275,29-04-2024
10,Hissar,Wheat,FAQ,2300,2300,2300,01-06-2024
11,Hissar,Wheat,FAQ,2275,2275,2275,14-05-2024
12,Hissar,Wheat,FAQ,2275,2275,2275,15-05-2024
13,Hissar,Wheat,FAQ,2275,2275,2275,20-05-2024
14,Hissar,Wheat,FAQ,2275,2276,2275,01-05-2024
15,Hissar,Wheat,FAQ,2276,2276,2276,27-05-2024
16,Hissar,Wheat,FAQ,2275,2276,2275,07-05-2024
17,Hissar,Wheat,FAQ,2275,2276,2275,08-05-2024
18,Hissar,Wheat,FAQ,2275,2275,2275,17-05-2024
19,Hissar,Wheat,FAQ,2275,2275,2275,16-05-2024
20,Hissar,Wheat,FAQ,2275,2280,2275,22-05-2024
