Sl no.,Centre Name,,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
571,Latur,,Jowar(Sorghum),2000,2200,2100,25-09-2024
572,Latur,,Jowar(Sorghum),2000,2225,2100,27-09-2024
573,Latur,,Jowar(Sorghum),3000,3550,3400,09-01-2024
574,Latur,,Jowar(Sorghum),1800,2200,2100,28-09-2024
575,Latur,,Jowar(Sorghum),1800,2400,2100,04-12-2024
576,Latur,,Jowar(Sorghum),1800,2400,2200,02-12-2024
577,Latur,,Jowar(Sorghum),1800,2500,2200,12-12-2024
578,Latur,,Jowar(Sorghum),1800,2500,2200,19-12-2024
579,Latur,,Jowar(Sorghum),1800,2500,2200,22-11-2024
580,Latur,,Jowar(Sorghum),1800,2600,2300,17-12-2024
581,Latur,,Jowar(Sorghum),1900,2100,2000,30-09-2024
582,Latur,,Jowar(Sorghum),2000,2400,2200,06-08-2024
583,Latur,,Jowar(Sorghum),2000,2400,2200,08-11-2024
584,Latur,,Jowar(Sorghum),2000,2400,2200,31-07-2024
585,Latur,,Jowar(Sorghum),2000,2500,2300,05-08-2024
586,Latur,,Jowar(Sorghum),2000,2550,2200,05-11-2024
587,Latur,,Jowar(Sorghum),2031,2400,2200,02-08-2024
588,Latur,,Jowar(Sorghum),2100,2400,2300,29-08-2024
589,Latur,,Jowar(Sorghum),2200,2400,2300,25-09-2024
590,Latur,,Jowar(Sorghum),2200,2450,2300,28-08-2024
591,Latur,,Jowar(Sorghum),2300,2300,2300,21-09-2024
592,Latur,,Jowar(Sorghum),2700,3000,2800,31-05-2024
593,Latur,,Jowar(Sorghum),2800,3200,3000,15-05-2024
594,Latur,,Jowar(Sorghum),2800,3300,3000,16-05-2024
595,Latur,,Jowar(Sorghum),2800,3550,3000,19-04-2024
