Sl no.,District Name,Market Name,Commodity,Variety,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
70,Nanded,Loha,Turmeric,Rajapuri,12200,14900,13600,09-05-2024
71,Nanded,Loha,Turmeric,Rajapuri,14151,17000,14600,29-04-2024
72,Nanded,Nanded,Turmeric,Other,4000,13560,12395,12-02-2024
73,Nanded,Nanded,Turmeric,Other,4300,4350,4350,30-03-2024
74,Nanded,Nanded,Turmeric,Other,6000,13600,13090,28-08-2024
75,Nanded,Nanded,Turmeric,Other,6000,13800,12595,11-11-2024
76,Nanded,Nanded,Turmeric,Other,7000,13495,12460,05-11-2024
77,Nanded,Nanded,Turmeric,Other,7000,14700,13800,26-09-2024
78,Nanded,Nanded,Turmeric,Other,7000,16885,14500,21-03-2024
79,Nanded,Nanded,Turmeric,Other,7000,17100,14845,02-04-2024
80,Nanded,Nanded,Turmeric,Other,7300,12300,11980,18-10-2024
81,Nanded,Nanded,Turmeric,Other,7400,13300,12935,17-10-2024
82,Nanded,Nanded,Turmeric,Other,7500,15000,14200,06-08-2024
83,Nanded,Nanded,Turmeric,Other,7505,13405,12800,04-09-2024
84,Nanded,Nanded,Turmeric,Other,7600,13450,12800,29-08-2024
85,Nanded,Nanded,Turmeric,Other,8000,13400,12500,21-10-2024
86,Nanded,Nanded,Turmeric,Other,8000,13595,12500,07-11-2024
87,Nanded,Nanded,Turmeric,Other,8000,14090,12600,08-11-2024
88,Nanded,Nanded,Turmeric,Other,8000,14685,13700,25-09-2024
89,Nanded,Nanded,Turmeric,Other,8200,13945,12425,15-02-2024
90,Nanded,Nanded,Turmeric,Other,8500,11385,10600,12-01-2024
91,Nanded,Nanded,Turmeric,Other,8500,14200,13560,09-09-2024
92,Nanded,Nanded,Turmeric,Other,8895,13250,12895,24-10-2024
93,Nanded,Nanded,Turmeric,Other,9000,13000,12025,02-01-2024
94,Nanded,Nanded,Turmeric,Other,9000,13695,12250,02-02-2024
95,Nanded,Nanded,Turmeric,Other,9000,14200,13300,05-09-2024
96,Nanded,Nanded,Turmeric,Other,9000,15100,13500,18-09-2024
97,Nanded,Nanded,Turmeric,Other,9000,15377,12300,22-02-2024
98,Nanded,Nanded,Turmeric,Other,9095,13545,12395,21-02-2024
99,Nanded,Nanded,Turmeric,Other,9150,12300,11000,04-01-2024
100,Nanded,Nanded,Turmeric,Other,9295,11995,10850,15-01-2024
101,Nanded,Nanded,Turmeric,Other,9450,13695,13220,30-08-2024
102,Nanded,Nanded,Turmeric,Other,9495,15501,13700,05-03-2024
103,Nanded,Nanded,Turmeric,Other,9600,13500,12000,13-02-2024
104,Nanded,Nanded,Turmeric,Other,9600,14795,14100,07-08-2024
105,Nanded,Nanded,Turmeric,Other,9995,14100,12000,01-02-2024
106,Nanded,Nanded,Turmeric,Other,10000,13500,12100,13-11-2024
107,Nanded,Nanded,Turmeric,Other,10000,13650,12800,15-10-2024
108,Nanded,Nanded,Turmeric,Other,10000,13850,13300,30-09-2024
109,Nanded,Nanded,Turmeric,Other,10000,14400,13200,28-02-2024
110,Nanded,Nanded,Turmeric,Other,10000,15150,14200,02-08-2024
111,Nanded,Nanded,Turmeric,Other,10000,17895,16300,20-03-2024
112,Nanded,Nanded,Turmeric,Other,10410,14100,12395,07-02-2024
113,Nanded,Nanded,Turmeric,Other,10495,12395,10495,01-01-2024
114,Nanded,Nanded,Turmeric,Other,10495,14495,12505,16-02-2024
115,Nanded,Nanded,Turmeric,Other,10500,14250,12845,25-10-2024
116,Nanded,Nanded,Turmeric,Other,10500,15825,13700,04-03-2024
117,Nanded,Nanded,Turmeric,Other,10600,15245,14400,05-08-2024
118,Nanded,Nanded,Turmeric,Other,10600,17100,15000,04-04-2024
119,Nanded,Nanded,Turmeric,Other,10601,13801,12701,02-11-2024
120,Nanded,Nanded,Turmeric,Other,10700,14550,13500,13-09-2024
121,Nanded,Nanded,Turmeric,Other,10800,13185,12300,28-10-2024
122,Nanded,Nanded,Turmeric,Other,10895,13895,12495,12-11-2024
123,Nanded,Nanded,Turmeric,Other,10900,12690,12125,16-10-2024
124,Nanded,Nanded,Turmeric,Other,10900,13380,12845,14-10-2024
125,Nanded,Nanded,Turmeric,Other,11000,13100,12700,05-12-2024
126,Nanded,Nanded,Turmeric,Other,11000,13300,12500,10-10-2024
127,Nanded,Nanded,Turmeric,Other,11000,13900,12690,02-12-2024
128,Nanded,Nanded,Turmeric,Other,11000,14000,12800,18-11-2024
129,Nanded,Nanded,Turmeric,Other,11000,18095,16395,22-03-2024
130,Nanded,Nanded,Turmeric,Other,11100,16690,15285,05-04-2024
131,Nanded,Nanded,Turmeric,Other,11100,17000,15500,18-03-2024
132,Nanded,Nanded,Turmeric,Other,11300,13600,13400,23-08-2024
133,Nanded,Nanded,Turmeric,Other,11300,14795,13105,27-02-2024
134,Nanded,Nanded,Turmeric,Other,11395,13885,12550,27-11-2024
135,Nanded,Nanded,Turmeric,Other,11400,14500,13655,06-09-2024
136,Nanded,Nanded,Turmeric,Other,11550,14300,13600,27-09-2024
137,Nanded,Nanded,Turmeric,Other,11570,13570,12095,09-12-2024
138,Nanded,Nanded,Turmeric,Other,11600,13295,12600,19-12-2024
139,Nanded,Nanded,Turmeric,Other,11700,14095,13400,20-09-2024
140,Nanded,Nanded,Turmeric,Other,11715,13400,13000,20-12-2024
141,Nanded,Nanded,Turmeric,Other,11720,14395,13300,26-08-2024
142,Nanded,Nanded,Turmeric,Other,11795,13895,12500,27-12-2024
143,Nanded,Nanded,Turmeric,Other,11895,13500,12695,13-12-2024
144,Nanded,Nanded,Turmeric,Other,11900,13395,12695,03-12-2024
145,Nanded,Nanded,Turmeric,Other,11900,15095,14300,10-07-2024
146,Nanded,Nanded,Turmeric,Other,11900,15895,14895,03-07-2024
