Sl no.,District Name,Commodity,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
172,Bankura,Rice,FAQ,3300,3400,3350,06-03-2024
173,Bankura,Rice,FAQ,3100,3300,3200,12-01-2024
174,Bankura,Rice,FAQ,3200,3300,3250,24-04-2024
175,Bankura,Rice,FAQ,3450,3600,3500,07-12-2024
176,Bankura,Rice,FAQ,3200,3300,3250,26-01-2024
177,Bankura,Rice,FAQ,3350,3450,3400,26-06-2024
178,Bankura,Rice,FAQ,3500,3600,3550,10-12-2024
179,Bankura,Rice,FAQ,3100,3200,3160,24-01-2024
180,Bankura,Rice,FAQ,3400,3600,3500,17-08-2024
181,Bankura,Rice,FAQ,3250,3350,3300,16-02-2024
182,Bankura,Rice,FAQ,3350,3450,3400,20-07-2024
183,Bankura,Rice,FAQ,3500,3600,3550,01-09-2024
184,Bankura,Rice,FAQ,3150,3300,3250,01-01-2024
185,Bankura,Rice,FAQ,3500,3600,3550,25-09-2024
186,Bankura,Rice,FAQ,3500,3600,3550,30-09-2024
187,Bankura,Rice,FAQ,3450,3550,3500,26-11-2024
188,Bankura,Rice,FAQ,3400,3600,3500,27-08-2024
189,Bankura,Rice,FAQ,3500,3600,3550,09-09-2024
190,Bankura,Rice,FAQ,3250,3350,3300,10-04-2024
191,Bankura,Rice,FAQ,3250,3350,3300,10-02-2024
192,Bankura,Rice,FAQ,3200,3300,3280,20-02-2024
193,Bankura,Rice,FAQ,3300,3400,3350,11-03-2024
194,Bankura,Rice,FAQ,3350,3450,3400,18-06-2024
195,Bankura,Rice,FAQ,3350,3450,3400,20-06-2024
196,Bankura,Rice,FAQ,3550,3650,3600,18-11-2024
197,Bankura,Rice,FAQ,3200,3300,3250,18-05-2024
198,Bankura,Rice,FAQ,3400,3600,3500,30-07-2024
199,Bankura,Rice,FAQ,3500,3600,3550,24-12-2024
200,Bankura,Rice,FAQ,3500,3600,3550,03-09-2024
